YEAR,country,ccode,region,rcode,sum,NUM,unga_imp,unga_impcons,ecoaid,milaid,OFDI,gdp,GdpPc,population,geo_distance,xxtot,mmtot,dist_CHINA,timepaytax,unemp,inflation,exchrate,legal,property,corru,tradefree,invfree,finfree,ecoaidpc,milaidpc,diaspora,chineseXunga_imp,chineseXmilaidpc,chineseXecoaidpc,agnu_china,bit,diplo,usainvXunga_imp,usainvXecoaidpc,usainvXmilaidpc,dummy_unga_china,SOEs,POEs,seasia,soe_dummy,ungaXsoe,ecoaidXsoe,milaidXsoe,sumrel,ofdirel,usainvXdiaspora,usainvXsoe,usainv,unga_impstd,ecoaidstd,milaidstd,ofdistd,ecoaidpcln,milaidpcln,indexXdiaspora,index2,s,ssoes,spoes,sel,dummy1,dummy2,dummy3,dummy4,dummy5,dummy6,dummy7,dummy8,region1,region2,region3,region4,region5,region6,region7,region8,trade,country1,comlang,dist,distw,distance,tradew,tradewstd,distancestd,comlangstd,pc1,pc2,pc3,INDEX,min_INDEX,max_INDEX,index,_est_soe,_est_poe,_est_one,_est_two,_est_three,_est_four,_est_five,_est_six,_est_seven,_est_eight,p1,_est_HECK_SOES,phi1,capphi1,invmills_SOEs,_est_CORRECTED_SOES,p2,_est_HECK_POES,phi2,capphi2,invmills_POEs,_est_CORRECTED_POES,_est_eleven,_est_twelve,_est_nine,_est_ten,strategicpartn,taiwan,chinese_immigrants,log_chinese_immigrants,dup,log_agnu_china,log_unga_imp,log_dist_china,log_gdp,log_exchrate,migra_dummy,log_exports,log_imports,exports,imports,natres,russia_unga,france_unga,uk_unga,assist_oecd,log_natres,taiwan_fdi,log_russia_unga
2005,Canada,20,North America,2,250,2,88.90000000000001,94.699997,21,0,231.836,1164.18,36029,32.312,548.39459,.83814555,.56491882,10598.32,119,6.6999998,3.2088704,1.2117634,7,90,87,82.800003,50,70,.64991337,0,1,88.900002,-.43091619,.64991337,.70149302,0,8,88.900002,-.43091619,,0,125,0,0,1,88.900002,-.43091619,,7.7370634,7.1749196,.92734402,.92734402,.92734402,2.2511075,-.34006539,-.15177158,-.20839882,-.43091619,,8.4288778,.33143657,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,251641500000,CAN,1,548.39459,2079.296721411753,.00048093183,216153424,2.8667316,4.9679451,1.2437606,5.1633043,1.2817861,2.1822789,3.061023,-.98707879,3.8155789,8.4288778,0,0,0,0,0,0,0,0,0,0,-1.0042288,1,.24094747,.15763417,1.5285231,0,-3.7828109,0,.000311607,.000077533601,4.0189929,0,0,0,1,1,2,0,0,13.368931,1,-.35454431,4.4875121,9.2684507,7.0597725,.19207664,1,-4.180264,-4.4757791,.016535087,.077499792,103.365129,.73288,.84459001,.84459001,0,18.453777,3,-.31077331
2006,Canada,20,North America,2,110,1,75,87,22,0,205.134,1194.7,36680,32.570505,548.39459,.81549174,.54867673,10598.32,119,6.3000002,2.7092891,1.1343633,7,90,85,83.199997,50,70,.67545778,0,1,75,-.39236462,.67545778,.65671599,0,8,75,-.39236462,,0,110,0,0,1,75,-.39236462,,3.3772888,6.2981524,1.8648546,1.8648546,1.8648546,1.649031,-.33873439,-.15177158,-.20834401,-.39236462,,8.3157644,.23905087,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,268983500000,CAN,1,548.39459,2079.296721411753,.00048093183,225147312,3.0204101,4.9679451,1.2437606,5.1711569,1.4539806,1.68325,3.0066981,-.98707879,3.8155789,8.3157644,1,1,1,1,1,1,0,0,1,1,-.53088564,1,.3465049,.29774901,1.1637483,1,-5.2855768,0,3.4229268e-07,6.2654635e-08,5.4631662,1,1,1,1,1,2,0,0,13.368931,1,-.42050365,4.3174882,9.2684507,7.0856504,.12607151,1,-4.1342721,-4.6375923,.017722504,.086916916,119.251494,.66667002,.81033999,.78736001,0,18.596745,3,-.40546006
2007,Canada,20,North America,2,0,0,84.59999999999999,91.699997,24,0,250.642,1218.7,37056,32.887928,548.39459,.78975111,.54233795,10598.32,119,6,3.2384436,1.0740992,7,90,84,88.199997,60,70,.72975105,0,1,84.599998,-.31505182,.72975105,.680556,0,8,84.599998,-.31505182,,0,0,0,0,0,0,0,,.000099999997,7.6210942,76210.945,0,76210.945,2.0648537,-.33590543,-.15177158,4.2458062,-.31505182,,10,2.4218872,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,282945500000,CAN,1,548.39459,2079.296721411753,.00048093183,232169936,3.1404059,4.9679451,1.2437606,6.2470322,1.5107127,3.1698005,3.8155789,-.98707879,3.8155789,10,1,1,1,1,1,1,0,0,1,1,-.68728179,1,.31502077,.24595259,1.2808191,1,-6.1657157,0,2.2173268e-09,3.5082526e-10,6.3203168,1,1,1,1,1,2,0,0,13.368931,1,-.38484517,4.4379344,9.2684507,7.1055398,.071482338,1,-4.1434293,-4.4668679,.021132974,.094115466,138.39993,.61184001,.77631998,.77272999,0,18.745659,0,-.49128446
2008,Canada,20,North America,2,0,0,59.4,89.199997,26,7000,246.483,1233.02,37088,33.245773,548.39459,.77646554,.52364546,10598.32,119,6.0999999,3.8924298,1.06704,7,90,85,87,70,80,.78205431,.00021055309,1,59.400002,-.2458311,.78205431,.65333301,0,8,59.400002,-.2458311,5.3497376,0,0,0,0,0,0,0,0,.000099999997,7.4139652,74139.656,0,74139.656,.97331953,-.33318019,-.15176363,4.1247468,-.2458311,-8.4657726,9.6961136,1.8816545,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,299982000000,CAN,1,548.39459,2079.296721411753,.00048093183,243290464,3.3304224,4.9679451,1.2437606,6.1891541,1.7879069,2.2405293,3.6696327,-.98707879,3.8155789,9.6961136,1,1,1,1,1,1,1,1,1,1,-.64728427,1,.32354179,.258724,1.2505287,1,-5.3320765,0,2.6741643e-07,4.8547996e-08,5.5082898,1,1,1,1,1,2,0,0,13.368931,1,-.4256683,4.0842943,9.2684507,7.1172218,.064888425,1,-4.1841936,-4.4927363,.021687349,.098228768,181.215782,.60417002,.79167002,.78472,0,19.0152,2,-.50389963
2009,Canada,20,North America,2,3480,3,80.3,95.099998,26,7000,274.807,1199.59,35672,33.628571,548.39459,.75031185,.51130652,10598.32,119,8.3000002,-2.1442547,1.1431005,7,90,87,88.199997,70,80,.77315211,.00020815633,1,80.300003,-.25727946,.77315211,.63043499,0,8,80.300003,-.25727946,5.3382893,0,1160,0,0,1,80.300003,-.25727946,5.3382893,103.48344,8.1718311,.078967527,.078967527,.078967527,1.8785999,-.33364403,-.15176372,-.2084484,-.25727946,-8.4772215,7.8848524,.27549276,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,216149000000,CAN,1,548.39459,2079.296721411753,.00048093183,180185728,2.2521513,4.9679451,1.2437606,4.8000331,1.1294731,1.9296703,2.7997458,-.98707879,3.8155789,7.8848524,1,1,1,1,1,1,1,1,1,1,.23781462,1,.38781905,.59398758,.65290767,1,-4.0310225,0,.00011815539,.000027767357,4.2551904,1,1,1,1,1,2,0,0,-15.18,1,-.46134523,4.3857698,9.2684507,7.089735,.13374431,0,-4.2192903,-4.4262099,.031085057,.10855915,107.14727,.55796999,.73913002,.75362003,0,18.489716,0,-.58345008
2010,Canada,20,North America,2,6590,5,75.40000000000001,94.099998,25,0,295.206,1240.06,36467,34.005274,548.39459,.74866533,.50380796,10598.32,131,8,2.6468103,1.0301628,7,90,87,88.099998,75,80,.73518008,0,1,75.400002,-.30763981,.73518008,.66438401,0,8,75.400002,-.30763981,,0,1542.5,0,0,1,75.400002,-.30763981,,193.79347,8.6811829,.044796053,.044796053,.044796053,1.666357,-.33562255,-.15177158,-.20845039,-.30763981,,8.1799908,.2430671,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,263731000000,CAN,1,548.39459,2079.296721411753,.00048093183,212676000,2.8073127,4.9679451,1.2437606,5.0622525,1.3738024,1.7142386,2.9414909,-.98707879,3.8155789,8.1799908,1,1,1,1,1,1,0,0,1,1,.31764698,1,.37931499,.62462366,.60726964,1,-4.1553721,0,.000071023671,.000016237926,4.3739376,1,1,1,1,1,2,0,0,13.368931,1,-.40889499,4.3228073,9.2684507,7.1229153,.029716859,1,-4.2629452,-4.5385332,.033251636,.11027595,144.790278,.60448003,.74627,.71641999,0,18.790796,16,-.50338668
2011,Canada,20,North America,2,5170,7,91.40000000000001,97.400002,27,0,330.041,1271.42,37021,34.34278,548.39459,.73652959,.49530104,10598.32,131,7.4000001,3.2388911,.98953068,7,90,87,88.099998,75,80,.78619146,0,1,91.400002,-.24055493,.78619146,.61176503,0,8,91.400002,-.24055493,,0,863.33301,0,0,1,91.400002,-.24055493,,150.54111,9.6102009,.063837722,.063837722,.063837722,2.3593946,-.3329646,-.15177158,-.20844929,-.24055493,,8.6954918,.35410851,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,299905500000,CAN,1,548.39459,2079.296721411753,.00048093183,235882320,3.2038393,4.9679451,1.2437606,5.3482718,1.3899367,2.2441113,3.1890686,-.98707879,3.8155789,8.6954918,1,1,1,1,1,1,0,0,1,1,.45165294,1,.3602584,.67424047,.53431737,1,-4.3847394,0,.000026671678,5.8062355e-06,4.5936265,1,1,1,1,1,0,0,0,-15.18,0,-.49140701,4.5152454,9.2684507,7.1478896,-.010524507,0,-4.3192778,-4.3649793,,,,,,,,,0,
2012,Canada,20,North America,2,21570,11,85.7,85.900002,23,0,346.08,1293.14,37208,34.754312,548.39459,.74513429,.50615746,10598.32,131,7.1999998,1.66904,.9991883,7,90,89,87.900002,75,80,.6617884,0,1,85.699997,-.4128094,.6617884,.56578898,0,8,85.699997,-.4128094,,0,2782.8601,0,0,1,85.699997,-.4128094,,620.6424,9.957901,.016044507,.016044507,.016044507,2.1124997,-.33944663,-.15177158,-.20845208,-.4128094,,8.6453314,.3089951,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,309578500000,CAN,1,548.39459,2079.296721411753,.00048093183,239400608,3.2639563,4.9679451,1.2437606,5.3519201,1.4552957,2.0390368,3.164978,-.98707879,3.8155789,8.6453314,1,1,1,1,1,1,0,0,1,1,.42705265,1,.36417326,.66532952,.54735774,1,-4.038404,0,.00011468837,.000026908056,4.2622318,1,1,1,1,1,0,0,0,-15.18,0,-.56953406,4.4508529,9.2684507,7.1648288,-.00081202568,0,-4.2883353,-4.3610554,,,,,,,,,0,
2005,Cuba,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,.048871901,.11456636,1.237992,.85211003,.58332998,.56944001,88380000,14.029001,0,-.16003962
2006,Cuba,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,.0076684011,.13391584,.142406,.89534998,.63371998,.63371998,93710000,11.866437,0,-.1105406
2007,Cuba,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,.0076684011,.13391584,1.599095,.87323999,.56338,.53472,92800000,14.284948,0,-.13554485
2008,Cuba,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,.0076684011,.13391584,1.24373,.875,.59722,.57042003,127480000,14.033626,0,-.13353139
